goid,definition,ontology,term,number_of_transctipts,transcripts_id
GO:0051259,"The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of component monomers; protein oligomers may be composed of different or identical monomers. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer.",BP,protein oligomerization,1,TRINITY_DN35691_c0_g1_i4
GO:0051260,"The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of identical component monomers. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer.",BP,protein homooligomerization,4,"TRINITY_DN28301_c3_g1_i5,TRINITY_DN28588_c2_g7_i4,TRINITY_DN28588_c2_g7_i6,TRINITY_DN36877_c0_g9_i2"
GO:0051271,"Any process that stops, prevents, or reduces the frequency, rate or extent of the movement of a cellular component.",BP,negative regulation of cellular component movement,1,TRINITY_DN38592_c1_g1_i1
GO:0051272,"Any process that activates or increases the frequency, rate or extent of the movement of a cellular component.",BP,positive regulation of cellular component movement,1,TRINITY_DN38592_c1_g1_i1
GO:0051279,"Any process that modulates the frequency, rate or extent of the release into the cytosolic compartment of calcium ions sequestered in the endoplasmic reticulum or mitochondria.",BP,regulation of release of sequestered calcium ion into cytosol,2,"TRINITY_DN31846_c1_g1_i1,TRINITY_DN33173_c1_g1_i6"
GO:0051281,"Any process that activates or increases the frequency, rate or extent of the release into the cytosolic compartment of calcium ions sequestered in the endoplasmic reticulum or mitochondria.",BP,positive regulation of release of sequestered calcium ion into cytosol,1,TRINITY_DN38300_c1_g1_i10
GO:0051285,The region directly beneath the plasma membrane at the cell tip. The cell tip is the region at either end of the longest axis of a cylindrical or elongated cell.,CC,cell cortex of cell tip,1,TRINITY_DN34786_c2_g2_i1
GO:0051286,The region at the end of the longest axis of a cylindrical or elongated cell.,CC,cell tip,2,"TRINITY_DN28592_c6_g3_i2,TRINITY_DN34786_c2_g2_i1"
GO:0051287,"Interacting selectively and non-covalently with nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NAD+, or the reduced form, NADH.",MF,NAD binding,11,"TRINITY_DN34978_c0_g1_i4,TRINITY_DN34652_c1_g2_i13,TRINITY_DN38689_c2_g1_i12,TRINITY_DN38689_c2_g1_i11,TRINITY_DN38689_c2_g1_i3,TRINITY_DN38689_c2_g1_i2,TRINITY_DN38689_c2_g1_i5,TRINITY_DN34652_c1_g2_i10,TRINITY_DN34100_c3_g1_i3,TRINITY_DN38035_c1_g1_i1,TRINITY_DN39045_c1_g1_i1"
GO:0051289,"The formation of a protein homotetramer, a macromolecular structure consisting of four noncovalently associated identical subunits.",BP,protein homotetramerization,7,"TRINITY_DN37006_c4_g1_i1,TRINITY_DN37006_c4_g1_i2,TRINITY_DN28634_c0_g1_i3,TRINITY_DN37341_c4_g1_i3,TRINITY_DN37341_c4_g1_i6,TRINITY_DN39575_c4_g2_i3,TRINITY_DN39669_c3_g1_i1"
GO:0051291,"The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of component monomers that are not all identical. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer.",BP,protein heterooligomerization,1,TRINITY_DN34359_c2_g1_i11
GO:0051293,The directed movement of the spindle to a specific location in the cell.,BP,establishment of spindle localization,1,TRINITY_DN39697_c3_g1_i4
GO:0051295,The cell cycle process in which the directed movement of the meiotic spindle to a specific location in the cell occurs.,BP,establishment of meiotic spindle localization,1,TRINITY_DN39545_c1_g2_i1
GO:0051301,"The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells.",BP,cell division,19,"TRINITY_DN36037_c0_g1_i6,TRINITY_DN36239_c0_g1_i4,TRINITY_DN27313_c6_g2_i5,TRINITY_DN31982_c1_g1_i4,TRINITY_DN31982_c1_g1_i9,TRINITY_DN37006_c4_g1_i2,TRINITY_DN37006_c4_g1_i1,TRINITY_DN37605_c0_g5_i2,TRINITY_DN39697_c3_g1_i4,TRINITY_DN38457_c0_g1_i7,TRINITY_DN32560_c0_g1_i4,TRINITY_DN39632_c0_g1_i3,TRINITY_DN34736_c3_g1_i11,TRINITY_DN34142_c2_g4_i8,TRINITY_DN31454_c6_g3_i2,TRINITY_DN34135_c0_g1_i2,TRINITY_DN36239_c0_g1_i11,TRINITY_DN32175_c3_g1_i1,TRINITY_DN38590_c5_g4_i3"
GO:0051353,"Any process that activates or increases the frequency, rate or extent of oxidoreductase activity, the catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered.",BP,positive regulation of oxidoreductase activity,2,"TRINITY_DN38300_c1_g1_i10,TRINITY_DN37207_c0_g2_i1"
GO:0051384,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glucocorticoid stimulus. Glucocorticoids are hormonal C21 corticosteroids synthesized from cholesterol with the ability to bind with the cortisol receptor and trigger similar effects. Glucocorticoids act primarily on carbohydrate and protein metabolism, and have anti-inflammatory effects.",BP,response to glucocorticoid,3,"TRINITY_DN23844_c0_g1_i1,TRINITY_DN39704_c0_g1_i1,TRINITY_DN39575_c4_g2_i3"
GO:0051393,"Interacting selectively and non-covalently with alpha-actinin, one of a family of proteins that cross-link F-actin as antiparallel homodimers. Alpha-actinin has a molecular mass of 93-103 KDa; at the N-terminus there are two calponin homology domains, at the C-terminus there are two EF-hands. These two domains are connected by the rod domain. This domain is formed by triple-helical spectrin repeats.",MF,alpha-actinin binding,1,TRINITY_DN29867_c5_g1_i3
GO:0051402,"Any apoptotic process in a neuron, the basic cellular unit of nervous tissue. Each neuron consists of a body, an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system.",BP,neuron apoptotic process,2,"TRINITY_DN34978_c0_g1_i4,TRINITY_DN34100_c3_g1_i3"
GO:0051436,"Any process that stops, prevents, or reduces the frequency, rate or extent of ubiquitin ligase activity that contributes to the mitotic cell cycle.",BP,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,1,TRINITY_DN34371_c4_g5_i1
GO:0051437,"Any process that activates, maintains or increases the rate of ubiquitin ligase activity that contributes to the regulation of the mitotic cell cycle phase transition.",BP,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,1,TRINITY_DN34371_c4_g5_i1
GO:0051443,"Any process that activates, maintains or increases the rate of ubiquitin transferase activity.",BP,positive regulation of ubiquitin-protein transferase activity,1,TRINITY_DN26765_c0_g3_i2
GO:0051444,"Any process that stops, prevents, or reduces the frequency, rate or extent of ubiquitin transferase activity.",BP,negative regulation of ubiquitin-protein transferase activity,1,TRINITY_DN38300_c1_g1_i10
GO:0051452,"Any process that reduces the internal pH of a cell, measured by the concentration of the hydrogen ion.",BP,intracellular pH reduction,1,TRINITY_DN32468_c3_g2_i2
GO:0051480,Any process involved in the maintenance of an internal steady state of calcium ions within the cytosol of a cell or between the cytosol and its surroundings.,BP,regulation of cytosolic calcium ion concentration,3,"TRINITY_DN39026_c5_g1_i5,TRINITY_DN39026_c5_g1_i9,TRINITY_DN39026_c5_g3_i1"
GO:0051489,"Any process that modulates the frequency, rate or extent of the assembly of a filopodium, a thin, stiff protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal growth cone.",BP,regulation of filopodium assembly,1,TRINITY_DN28984_c0_g1_i1
GO:0051493,"Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures.",BP,regulation of cytoskeleton organization,1,TRINITY_DN31846_c1_g1_i1
GO:0051496,"Any process that activates or increases the frequency, rate or extent of the assembly of a stress fiber, a bundle of microfilaments and other proteins found in fibroblasts.",BP,positive regulation of stress fiber assembly,2,"TRINITY_DN32444_c4_g1_i1,TRINITY_DN38300_c1_g1_i10"
GO:0051497,"Any process that stops, prevents, or reduces the frequency, rate or extent of the assembly a stress fiber, a bundle of microfilaments and other proteins found in fibroblasts.",BP,negative regulation of stress fiber assembly,1,TRINITY_DN35772_c2_g1_i3
GO:0051537,"Interacting selectively and non-covalently with a 2 iron, 2 sulfur (2Fe-2S) cluster; this cluster consists of two iron atoms, with two inorganic sulfur atoms found between the irons and acting as bridging ligands.",MF,"2 iron, 2 sulfur cluster binding",7,"TRINITY_DN29232_c8_g3_i7,TRINITY_DN38689_c2_g1_i12,TRINITY_DN38689_c2_g1_i3,TRINITY_DN38689_c2_g1_i11,TRINITY_DN38689_c2_g1_i5,TRINITY_DN38689_c2_g1_i2,TRINITY_DN32641_c3_g1_i1"
GO:0051539,"Interacting selectively and non-covalently with a 4 iron, 4 sulfur (4Fe-4S) cluster; this cluster consists of four iron atoms, with the inorganic sulfur atoms found between the irons and acting as bridging ligands.",MF,"4 iron, 4 sulfur cluster binding",2,"TRINITY_DN29378_c0_g1_i3,TRINITY_DN20768_c0_g1_i1"
GO:0051560,Any process involved in the maintenance of an internal steady state of calcium ions within the cytoplasm of a cell or between mitochondria and their surroundings.,BP,mitochondrial calcium ion homeostasis,4,"TRINITY_DN39026_c5_g1_i7,TRINITY_DN39026_c5_g1_i5,TRINITY_DN39026_c5_g1_i9,TRINITY_DN39026_c5_g3_i1"
GO:0051562,Any process that decreases the concentration of calcium ions in mitochondria.,BP,negative regulation of mitochondrial calcium ion concentration,4,"TRINITY_DN37781_c2_g1_i1,TRINITY_DN37781_c2_g1_i5,TRINITY_DN37781_c2_g1_i4,TRINITY_DN37781_c2_g1_i3"
GO:0051568,The modification of histone H3 by addition of one or more methyl groups to lysine at position 4 of the histone.,BP,histone H3-K4 methylation,1,TRINITY_DN33051_c1_g1_i3
GO:0051574,"Any process that activates or increases the frequency, rate or extent of the covalent addition of a methyl group to the lysine at position 9 of histone H3.",BP,positive regulation of histone H3-K9 methylation,1,TRINITY_DN26199_c0_g1_i1
GO:0051591,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate) stimulus.",BP,response to cAMP,6,"TRINITY_DN29948_c4_g3_i2,TRINITY_DN37001_c7_g2_i10,TRINITY_DN37001_c7_g2_i11,TRINITY_DN37001_c7_g2_i5,TRINITY_DN37001_c7_g2_i9,TRINITY_DN37188_c0_g1_i1"
GO:0051592,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a calcium ion stimulus.",BP,response to calcium ion,1,TRINITY_DN33643_c1_g4_i2
GO:0051593,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a folic acid stimulus.",BP,response to folic acid,1,TRINITY_DN37126_c2_g1_i11
GO:0051594,The series of events in which a glucose stimulus is received by a cell and converted into a molecular signal.,BP,detection of glucose,1,TRINITY_DN33879_c1_g1_i1
GO:0051601,"Any process in which an exocyst is transported to, or maintained in, a specific location. An exocyst is a protein complex peripherally associated with the plasma membrane that determines where vesicles dock and fuse.",BP,exocyst localization,1,TRINITY_DN27827_c5_g3_i2
GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.,BP,proteolysis involved in cellular protein catabolic process,2,"TRINITY_DN34089_c0_g1_i5,TRINITY_DN32611_c7_g1_i1"
GO:0051604,Any process leading to the attainment of the full functional capacity of a protein.,BP,protein maturation,1,TRINITY_DN27434_c3_g1_i5
GO:0051607,Reactions triggered in response to the presence of a virus that act to protect the cell or organism.,BP,defense response to virus,8,"TRINITY_DN37395_c6_g3_i1,TRINITY_DN37395_c6_g3_i2,TRINITY_DN37395_c6_g1_i1,TRINITY_DN33447_c2_g3_i1,TRINITY_DN37662_c2_g4_i7,TRINITY_DN37662_c2_g4_i6,TRINITY_DN37576_c3_g1_i7,TRINITY_DN39439_c1_g1_i4"
GO:0051639,The assembly of a network of actin filaments; actin filaments on different axes and with differing orientations are crosslinked together to form a mesh of filaments.,BP,actin filament network formation,1,TRINITY_DN34706_c0_g1_i2
GO:0051642,"Any process in which a centrosome is transported to, and/or maintained in, a specific location within the cell.",BP,centrosome localization,2,"TRINITY_DN39391_c2_g1_i11,TRINITY_DN35919_c0_g1_i9"
GO:0051647,"Any process in which the nucleus is transported to, and/or maintained in, a specific location within the cell.",BP,nucleus localization,2,"TRINITY_DN30443_c0_g1_i4,TRINITY_DN30443_c0_g1_i2"
GO:0051650,The directed movement of a vesicle to a specific location.,BP,establishment of vesicle localization,1,TRINITY_DN35737_c0_g1_i5
GO:0051721,Interacting selectively and non-covalently with the enzyme protein phosphatase 2A.,MF,protein phosphatase 2A binding,2,"TRINITY_DN38457_c0_g1_i7,TRINITY_DN32276_c1_g1_i3"
GO:0051726,Any process that modulates the rate or extent of progression through the cell cycle.,BP,regulation of cell cycle,5,"TRINITY_DN27309_c4_g1_i1,TRINITY_DN37006_c4_g1_i1,TRINITY_DN37006_c4_g1_i2,TRINITY_DN32006_c2_g1_i3,TRINITY_DN29869_c8_g6_i3"
GO:0051764,The process in which two or more actin filaments are connected together by proteins that act as crosslinks between the filaments. The crosslinked filaments may be on the same or differing axes.,BP,actin crosslink formation,2,"TRINITY_DN34706_c0_g1_i2,TRINITY_DN36877_c0_g9_i2"
GO:0051782,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell division.",BP,negative regulation of cell division,1,TRINITY_DN38489_c0_g2_i12
GO:0051861,"Interacting selectively and non-covalently with a glycolipid, any compound containing one or more monosaccharide residues bound by a glycosidic linkage to a hydrophobic group such as an acylglycerol, a sphingoid, a ceramide (N-acylsphingoid) or a prenyl phosphate.",MF,glycolipid binding,1,TRINITY_DN26633_c8_g1_i2
GO:0051865,"The ubiquitination by a protein of one or more of its own amino acid residues, or residues on an identical protein. Ubiquitination occurs on the lysine residue by formation of an isopeptide crosslink.",BP,protein autoubiquitination,1,TRINITY_DN35085_c2_g4_i1
GO:0051879,"Interacting selectively and non-covalently with Hsp90 proteins, any of a group of heat shock proteins around 90kDa in size.",MF,Hsp90 protein binding,4,"TRINITY_DN34359_c2_g1_i11,TRINITY_DN29529_c6_g1_i3,TRINITY_DN29529_c6_g1_i4,TRINITY_DN29529_c6_g1_i1"
GO:0051881,"Any process that modulates the establishment or extent of the mitochondrial membrane potential, the electric potential existing across the mitochondrial membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane.",BP,regulation of mitochondrial membrane potential,4,"TRINITY_DN37781_c2_g1_i3,TRINITY_DN37781_c2_g1_i1,TRINITY_DN37781_c2_g1_i5,TRINITY_DN37781_c2_g1_i4"
GO:0051882,The process in which the potential difference across the mitochondrial membrane is reduced from its steady state level.,BP,mitochondrial depolarization,1,TRINITY_DN38300_c1_g1_i10
GO:0051894,"Any process that activates or increases the frequency, rate or extent of focal adhesion assembly, the establishment and maturation of focal adhesions.",BP,positive regulation of focal adhesion assembly,1,TRINITY_DN38300_c1_g1_i10
GO:0051918,"Any process that stops, prevents, or reduces the frequency, rate or extent of fibrinolysis, an ongoing process that solubilizes fibrin, resulting in the removal of small blood clots.",BP,negative regulation of fibrinolysis,1,TRINITY_DN32444_c4_g1_i1
GO:0051928,"Any process that activates or increases the frequency, rate or extent of the directed movement of calcium ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,positive regulation of calcium ion transport,1,TRINITY_DN29867_c5_g1_i3
GO:0051959,Interacting selectively and non-covalently with a light intermediate chain of the dynein complex.,MF,dynein light intermediate chain binding,1,TRINITY_DN39697_c3_g1_i4
GO:0051983,"Any process that modulates the frequency, rate or extent of chromosome segregation, the process in which genetic material, in the form of chromosomes, is organized and then physically separated and apportioned to two or more sets.",BP,regulation of chromosome segregation,1,TRINITY_DN32175_c3_g1_i1
GO:0051991,"Catalysis of the reaction: N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol + UDP-N-acetyl-D-glucosamine = N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine + UDP.",MF,"UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity",1,TRINITY_DN34736_c3_g1_i11
GO:0052381,Catalysis of the reaction: dimethylallyl diphosphate + tRNA = diphosphate + tRNA containing 6-dimethylallyladenosine.,MF,tRNA dimethylallyltransferase activity,1,TRINITY_DN19007_c0_g2_i1
GO:0052548,"Any process that modulates the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins.",BP,regulation of endopeptidase activity,1,TRINITY_DN31681_c0_g1_i11
GO:0052615,Catalysis of the reaction: H+ + NADPH + ent-kaur-16-ene + oxygen = H2O + NADP+ + ent-kaur-16-en-19-ol.,MF,ent-kaurene oxidase activity,1,TRINITY_DN28058_c3_g6_i2
GO:0052616,Catalysis of the reaction: H+ + NADPH + ent-kaur-16-en-19-ol + oxygen = 2 H2O + NADP+ + ent-kaur-16-en-19-al.,MF,ent-kaur-16-en-19-ol oxidase activity,1,TRINITY_DN28058_c3_g6_i2
GO:0052617,Catalysis of the reaction: NADPH + ent-kaur-16-en-19-al + oxygen = H2O + NADP+ + ent-kaurenoate.,MF,ent-kaur-16-en-19-al oxidase activity,1,TRINITY_DN28058_c3_g6_i2
GO:0052692,Catalysis of the reaction: raffinose + H2O = alpha-D-galactose + sucrose.,MF,raffinose alpha-galactosidase activity,2,"TRINITY_DN32060_c1_g2_i1,TRINITY_DN33294_c0_g1_i1"
GO:0052852,Catalysis of the reaction: very-long-chain (S)-2-hydroxy-acid + O2 = very-long-chain 2-oxo acid + hydrogen peroxide. Very long chain refers to a chain length of greater than 18 carbons.,MF,very-long-chain-(S)-2-hydroxy-acid oxidase activity,1,TRINITY_DN39575_c3_g1_i1
GO:0052853,Catalysis of the reaction: long-chain-(S)-2-hydroxy-acid + O2 = long-chain-2-oxo acid + hydrogen peroxide. Long chain refers to a chain length of 14 to 18 carbons.,MF,long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity,1,TRINITY_DN39575_c3_g1_i1
GO:0052854,Catalysis of the reaction: medium-chain-(S)-2-hydroxy-acid + O2 = medium-chain-2-oxo acid + hydrogen peroxide. Medium chain refers to a chain length of between 8 and 12 carbons.,MF,medium-chain-(S)-2-hydroxy-acid oxidase activity,1,TRINITY_DN39575_c3_g1_i1
GO:0055001,"The process whose specific outcome is the progression of a muscle cell over time, from its formation to the mature structure. Muscle cell development does not include the steps involved in committing an unspecified cell to the muscle cell fate.",BP,muscle cell development,1,TRINITY_DN30601_c3_g2_i1
GO:0055002,"The process whose specific outcome is the progression of a striated muscle cell over time, from its formation to the mature structure. Striated muscle cells contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle.",BP,striated muscle cell development,1,TRINITY_DN30701_c4_g1_i3
GO:0055036,The lipid bilayer surrounding a virion.,CC,virion membrane,3,"TRINITY_DN19545_c0_g1_i1,TRINITY_DN27524_c0_g3_i1,TRINITY_DN36345_c6_g2_i1"
GO:0055037,"An organelle consisting of a network of tubules that functions in targeting molecules, such as receptors transporters and lipids, to the plasma membrane.",CC,recycling endosome,2,"TRINITY_DN34559_c7_g1_i1,TRINITY_DN35737_c0_g1_i5"
GO:0055038,The lipid bilayer surrounding a recycling endosome.,CC,recycling endosome membrane,2,"TRINITY_DN28984_c0_g1_i1,TRINITY_DN35737_c0_g1_i5"
GO:0055072,Any process involved in the maintenance of an internal steady state of iron ions within an organism or cell.,BP,iron ion homeostasis,7,"TRINITY_DN28954_c4_g1_i4,TRINITY_DN27084_c0_g3_i3,TRINITY_DN28954_c4_g1_i5,TRINITY_DN27084_c0_g3_i2,TRINITY_DN35879_c0_g1_i39,TRINITY_DN35879_c0_g1_i32,TRINITY_DN35879_c0_g1_i10"
GO:0055085,"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other",BP,transmembrane transport,2,"TRINITY_DN34371_c4_g5_i1,TRINITY_DN39464_c2_g6_i1"
GO:0055091,Any process involved in the maintenance of an internal steady state of phospholipid within an organism or cell.,BP,phospholipid homeostasis,1,TRINITY_DN39186_c0_g1_i2
GO:0055114,"A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.",BP,oxidation-reduction process,9,"TRINITY_DN28603_c11_g13_i1,TRINITY_DN34652_c1_g2_i13,TRINITY_DN29693_c0_g1_i4,TRINITY_DN31578_c2_g1_i4,TRINITY_DN38689_c2_g1_i12,TRINITY_DN28504_c4_g1_i7,TRINITY_DN38689_c2_g1_i2,TRINITY_DN38689_c2_g1_i5,TRINITY_DN34652_c1_g2_i10"
GO:0055119,The process in which the extent of cardiac muscle contraction is reduced.,BP,relaxation of cardiac muscle,1,TRINITY_DN39669_c3_g1_i1
GO:0055123,"The process whose specific outcome is the progression of the digestive system over time, from its formation to the mature structure. The digestive system is the entire structure in which digestion takes place. Digestion is all of the physical, chemical, and biochemical processes carried out by multicellular organisms to break down ingested nutrients into components that may be easily absorbed and directed into metabolism.",BP,digestive system development,3,"TRINITY_DN28898_c5_g1_i6,TRINITY_DN38401_c1_g1_i6,TRINITY_DN28898_c5_g1_i4"
GO:0060005,A reflex process in which a response to an angular or linear acceleration stimulus begins with an afferent nerve impulse from a receptor in the inner ear and ends with the compensatory action of eye muscles. Signaling never reaches a level of consciousness.,BP,vestibular reflex,1,TRINITY_DN37446_c3_g1_i2
GO:0060020,"The process in which neuroepithelial cells of the neural tube give rise to Brgmann glial cells, specialized bipotential progenitors cells of the cerebellum. Differentiation includes the processes involved in commitment of a cell to a specific fate.",BP,Bergmann glial cell differentiation,1,TRINITY_DN38300_c1_g1_i10
GO:0060026,The morphogenetic process in which an epithelium narrows along one axis and lengthens in a perpendicular axis.,BP,convergent extension,1,TRINITY_DN30701_c4_g1_i3
GO:0060027,"The morphogenetic process in which an epithelium narrows along one axis and lengthens in a perpendicular axis usually resulting in the formation of the three primary germ layers, ectoderm, mesoderm and endoderm.",BP,convergent extension involved in gastrulation,1,TRINITY_DN30701_c4_g1_i3
GO:0060028,The morphogenetic process in which an epithelium narrows along one axis and lengthens in a perpendicular axis contributing to the lengthening of the axis of an organism.,BP,convergent extension involved in axis elongation,2,"TRINITY_DN30701_c4_g1_i3,TRINITY_DN36470_c0_g2_i5"
GO:0060030,The directed migration of individual cells and small groups of cells toward the dorsal midline during gastrulation. This process does not require cell rearrangement.,BP,dorsal convergence,1,TRINITY_DN30701_c4_g1_i3
GO:0060041,"The process whose specific outcome is the progression of the retina over time, from its formation to the mature structure. The retina is the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates.",BP,retina development in camera-type eye,3,"TRINITY_DN36896_c2_g2_i1,TRINITY_DN29948_c4_g3_i2,TRINITY_DN26349_c0_g1_i3"
GO:0060045,"Any process that activates or increases the frequency, rate or extent of cardiac muscle cell proliferation.",BP,positive regulation of cardiac muscle cell proliferation,1,TRINITY_DN33012_c5_g1_i6
GO:0060059,The process in which the anatomical structure of the retina is generated and organized in a camera-type eye during the embryonic life stage.,BP,embryonic retina morphogenesis in camera-type eye,1,TRINITY_DN36957_c0_g3_i6
GO:0060070,"The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes. In this pathway, the activated receptor signals via downstream effectors that result in the inhibition of beta-catenin phosphorylation, thereby preventing degradation of beta-catenin. Stabilized beta-catenin can then accumulate and travel to the nucleus to trigger changes in transcription of target genes.",BP,canonical Wnt signaling pathway,4,"TRINITY_DN30701_c4_g1_i3,TRINITY_DN33051_c1_g1_i3,TRINITY_DN35224_c1_g1_i6,TRINITY_DN37602_c2_g2_i6"
GO:0060071,The series of molecular signals initiated by binding of a Wnt protein to a receptor on the surface of the target cell where activated receptors signal via downstream effectors including C-Jun N-terminal kinase (JNK) to modulate cytoskeletal elements and control cell polarity.,BP,"Wnt signaling pathway, planar cell polarity pathway",2,"TRINITY_DN30701_c4_g1_i3,TRINITY_DN34371_c4_g5_i1"
GO:0060075,"Any process that modulates the establishment or extent of a resting potential, the electrical charge across the plasma membrane, with the interior of the cell negative with respect to the exterior. The resting potential is the membrane potential of a cell that is not stimulated to be depolarized or hyperpolarized.",BP,regulation of resting membrane potential,1,TRINITY_DN35038_c0_g1_i5
GO:0060117,"The process whose specific outcome is the progression of an auditory receptor cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate.",BP,auditory receptor cell development,1,TRINITY_DN37446_c3_g1_i2
GO:0060136,A reproductive process occurring in the embryo or fetus that allows the embryo or fetus to develop within the mother.,BP,embryonic process involved in female pregnancy,2,"TRINITY_DN34920_c8_g2_i4,TRINITY_DN37126_c2_g1_i11"
GO:0060155,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a platelet dense granule. A platelet dense granule is an electron-dense granule occurring in blood platelets that stores and secretes adenosine nucleotides and serotonin. They contain a highly condensed core consisting of serotonin, histamine, calcium, magnesium, ATP, ADP, pyrophosphate and membrane lysosomal proteins.",BP,platelet dense granule organization,1,TRINITY_DN39186_c0_g1_i2
GO:0060159,"Any process that modulates the frequency, rate or extent of a dopamine receptor signaling pathway activity. A dopamine receptor signaling pathway is the series of molecular signals generated as a consequence of a dopamine receptor binding to one of its physiological ligands.",BP,regulation of dopamine receptor signaling pathway,1,TRINITY_DN39159_c4_g2_i1
GO:0060170,The portion of the plasma membrane surrounding a cilium.,CC,ciliary membrane,4,"TRINITY_DN39419_c4_g1_i1,TRINITY_DN39419_c4_g1_i5,TRINITY_DN39419_c4_g1_i7,TRINITY_DN33236_c7_g5_i2"
GO:0060174,"The process pertaining to the initial formation of a limb bud from unspecified parts. This process begins with the formation of a local condensation of mesenchyme cells within the prospective limb field, and ends when a limb bud is recognizable.",BP,limb bud formation,1,TRINITY_DN35224_c1_g1_i6
GO:0060236,"Any process that modulates the rate, frequency or extent of the assembly, arrangement of constituent parts, or disassembly of the microtubule spindle during a mitotic cell cycle.",BP,regulation of mitotic spindle organization,3,"TRINITY_DN39697_c3_g1_i4,TRINITY_DN39632_c0_g1_i3,TRINITY_DN34786_c2_g2_i1"
GO:0060252,Any process that activates or increases the rate or extent of glial cell proliferation.,BP,positive regulation of glial cell proliferation,1,TRINITY_DN33486_c0_g1_i1
GO:0060271,"The assembly of a cilium, a specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole.",BP,cilium assembly,4,"TRINITY_DN30701_c4_g1_i3,TRINITY_DN37381_c0_g4_i3,TRINITY_DN26349_c0_g1_i3,TRINITY_DN37602_c2_g2_i6"
GO:0060306,"Any process that modulates the establishment or extent of a membrane potential in the polarizing direction towards the resting potential, usually from positive to negative.",BP,regulation of membrane repolarization,1,TRINITY_DN39669_c3_g1_i1
GO:0060314,Any process that modulates the activity of a ryanodine-sensitive calcium-release channel. The ryanodine-sensitive calcium-release channel catalyzes the transmembrane transfer of a calcium ion by a channel that opens when a ryanodine class ligand has been bound by the channel complex or one of its constituent parts.,BP,regulation of ryanodine-sensitive calcium-release channel activity,1,TRINITY_DN31899_c3_g1_i1
GO:0060333,"A series of molecular signals initiated by the binding of interferon-gamma to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription. Interferon gamma is the only member of the type II interferon found so far.",BP,interferon-gamma-mediated signaling pathway,1,TRINITY_DN33447_c2_g3_i1
